tconst	primaryTitle	startYear
tt0029284	My Favorite Wife	1940
tt0031084	Beating Heart	1940
tt0031192	Crook's Tour	1940
tt0031228	Devil's Daughter	1946
tt0031359	Gaslight	1940
tt0031466	I Take This Woman	1940
tt0031548	Lady in Distress	1940
tt0031600	Gambling Hell	1942
tt0031682	Mrs. Pym of Scotland Yard	1940
tt0031828	The Tunnel	1940
tt0031878	Red Roses	1940
tt0031976	The Stars Look Down	1940
tt0032179	21 Days Together	1940
tt0032181	Abe Lincoln in Illinois	1940
tt0032186	You're Missing the Point	1940
tt0032194	All This, and Heaven Too	1940
tt0032206	Andy Hardy Meets Debutante	1940
tt0032209	Angels Over Broadway	1940
tt0032215	The Ape	1940
tt0032220	Arise, My Love	1940
tt0032221	Arizona	1940
tt0032225	The Siege of the Alcazar	1940
tt0032230	Babicka	1940
tt0032231	Babies for Sale	1940
tt0032232	Bad Man from Red Butte	1940
tt0032234	The Bank Dick	1940
tt0032245	Before I Hang	1940
tt0032247	Beyond Tomorrow	1940
tt0032255	Bismarck	1940
tt0032258	Black Friday	1940
tt0032264	The Blue Bird	1940
tt0032273	Boom Town	1940
tt0032281	Brigham Young	1940
tt0032284	Broadway Melody of 1940	1940
tt0032285	Brother Orchid	1940
tt0032287	Ett brott	1940
tt0032315	Castle on the Hudson	1940
tt0032321	Chad Hanna	1940
tt0032323	Charley's (Big-Hearted) Aunt	1940
tt0032324	Charlie Chan at the Wax Museum	1940
tt0032325	Charlie Chan in Panama	1940
tt0032326	Charlie Chan's Murder Cruise	1940
tt0032338	Christmas in July	1940
tt0032339	A Chump at Oxford	1940
tt0032342	City for Conquest	1940
tt0032349	Comrade X	1940
tt0032353	Congo Maisie	1940
tt0032356	Blackout	1940
tt0032359	Convoy	1940
tt0032376	Dance, Girl, Dance	1940
tt0032383	Dark Command	1940
tt0032384	De Mayerling à Sarajevo	1940
tt0032390	The Devil Bat	1940
tt0032397	The Doctor Takes a Wife	1940
tt0032406	Chamber of Horrors	1940
tt0032410	Down Argentine Way	1940
tt0032412	Dr. Cyclops	1940
tt0032413	Dr. Ehrlich's Magic Bullet	1940
tt0032415	Dr. Kildare's Crisis	1940
tt0032416	Dr. Kildare's Strange Case	1940
tt0032417	Dreaming Out Loud	1940
tt0032429	East of the River	1940
tt0032432	Edison, the Man	1940
tt0032447	Escape	1940
tt0032455	Fantasia	1940
tt0032457	The Fatal Hour	1940
tt0032467	The Fighting 69th	1940
tt0032477	Flight Command	1940
tt0032481	Flowing Gold	1940
tt0032484	Foreign Correspondent	1940
tt0032520	The Ghost Breakers	1940
tt0032536	Go West	1940
tt0032539	Gold Rush Maisie	1940
tt0032551	The Grapes of Wrath	1940
tt0032553	The Great Dictator	1940
tt0032554	The Great McGinty	1940
tt0032558	Green Hell	1940
tt0032566	Half a Sinner	1940
tt0032572	Haunted House	1940
tt0032587	The Heart of a Queen	1940
tt0032596	Hired Wife	1940
tt0032599	His Girl Friday	1940
tt0032609	The House Across the Bay	1940
tt0032610	The House of the Seven Gables	1940
tt0032612	The Howards of Virginia	1940
tt0032617	I Love You Again	1940
tt0032620	I Was an Adventuress	1940
tt0032624	If I Had My Way	1940
tt0032635	The Invisible Man Returns	1940
tt0032637	The Invisible Woman	1940
tt0032638	Irene	1940
tt0032641	Island of Doomed Men	1940
tt0032643	It All Came True	1940
tt0032651	Johnny Apollo	1940
tt0032653	Jud Süß	1940
tt0032655	June Night	1940
tt0032670	Kit Carson	1940
tt0032671	Kitty Foyle	1940
tt0032672	Kleider machen Leute	1940
tt0032676	Knute Rockne All American	1940
tt0032683	Laddie	1940
tt0032686	The Lady in Question	1940
tt0032687	Lady with Red Hair	1940
tt0032701	The Letter	1940
tt0032706	The Light of Western Stars	1940
tt0032710	Lillian Russell	1940
tt0032717	Little Men	1940
tt0032728	The Long Voyage Home	1940
tt0032742	Maddalena, Zero for Conduct	1940
tt0032746	The Man I Married	1940
tt0032753	The Man with Nine Lives	1940
tt0032762	The Mark of Zorro	1940
tt0032788	Michael Shayne: Private Detective	1940
tt0032802	Gorky 3: My Universities	1940
tt0032811	The Mortal Storm	1940
tt0032818	The Mummy's Hand	1940
tt0032819	Murder Over New York	1940
tt0032823	Music in My Heart	1940
tt0032828	My Little Chickadee	1940
tt0032840	New Moon	1940
tt0032842	Night Train to Munich	1940
tt0032846	No Time for Comedy	1940
tt0032847	No, No, Nanette	1940
tt0032850	North West Mounted Police	1940
tt0032851	Northwest Passage	1940
tt0032871	One Million B.C.	1940
